age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
18-35 ,Male,Palamaner,Good,Neutral,Accessible facilities for people with disabilities,No,Once a week,Neutral,More frequent buses/trains,Sometimes,Improved lighting and safety,Restrooms,Unknown,Sometimes,Public restrooms,Very dissatisfied,Rarely,Very Dissatisfied,Unknown,Invest in technology,More frequent buses/trains Public restrooms Unknown Invest in technology Very Dissatisfied Good Neutral No Neutral,frequent bus train public restroom unknown invest technology dissatisfied good neutral neutral
18-35 ,Female,Mysuru,Good,Neutral,Free Wi-Fi,No,A few times a week,Neutral,Unknown,No,Improved lighting and safety,Picnic area,Lack of amenities,Sometimes,Electric vehicle charging stations,Neutral,Weekly,Satisfied,E book access,Enhance community engagement,Unknown Electric vehicle charging stations E book access Enhance community engagement Satisfied Good Neutral No Neutral,unknown electric vehicle charge station e book access enhance community engagement satisfied good neutral neutral
51-70 ,Male,Bengaluru,Fair,Very unsafe,Baby-changing facilities,Yes,Everyday,Very satisfied,More frequent buses/trains,Sometimes,More amenities,Restrooms,Unknown,Sometimes,Sports equipment rentals,Very dissatisfied,Rarely,Dissatisfied,Language learning programs,Improve customer service,More frequent buses/trains Sports equipment rentals Language learning programs Improve customer service Dissatisfied Fair Very unsafe Yes Very satisfied,frequent bus train sport equipment rental language learning program improve customer service dissatisfy fair unsafe yes satisfied
18-35 ,Male,Chennai,Poor,Very safe,Comfortable seating areas,No,A few times a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Safety and security,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,E book access,Increase transparency,Reduced fares or free transfers Electric vehicle charging stations E book access Increase transparency Neutral Poor Very safe No Neutral,reduce fare free transfer electric vehicle charge station e book access increase transparency neutral poor safe neutral
Oct-18,Male,Andhra Pradesh,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Satisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Yes,Sports equipment rentals,Very dissatisfied,Never,Satisfied,Language learning programs,Unknown,Increased safety and security Sports equipment rentals Language learning programs Unknown Satisfied Excellent Neutral Yes Satisfied,increase safety security sport equipment rental language learning program unknown satisfied excellent neutral yes satisfy
18-35 ,Male,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Crowding and noise,No,Public restrooms,Dissatisfied,Monthly,Satisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Public restrooms E book access Improve customer service Satisfied Poor Somewhat safe Yes Satisfied",clean comfortable vehicle public restroom e book access improve customer service satisfy poor somewhat safe yes satisfied
36-50 ,Female,Kanakapura,Fair,Very safe,Free Wi-Fi,No,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Invest in technology,Increased safety and security Sports equipment rentals E book access Invest in technology Neutral Fair Very safe No Unsatisfied,increase safety security sport equipment rental e book access invest technology neutral fair safe unsatisfied
36-50 ,Male,Kanakapura,Good,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Neutral,Increased safety and security,No,Increased programming and events,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Very Satisfied,E book access,Increase transparency,Increased safety and security Sports equipment rentals E book access Increase transparency Very Satisfied Good Somewhat unsafe Yes Neutral,increase safety security sport equipment rental e book access increase transparency satisfied good somewhat unsafe yes neutral
18-35 ,Male,Mysuru,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Satisfied Good Somewhat safe Yes Unsatisfied",reduce fare free transfer electric vehicle charge station diy painting improve customer service satisfied good somewhat safe yes unsatisfie
36-50 ,Male,Chennai,Fair,Somewhat unsafe,Free Wi-Fi,No,Never,Satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Improve customer service,Reduced fares or free transfers Sports equipment rentals E book access Improve customer service Neutral Fair Somewhat unsafe No Satisfied,reduce fare free transfer sport equipment rental e book access improve customer service neutral fair somewhat unsafe satisfied
18-35 ,Female,Chennai,Fair,Neutral,Free Wi-Fi,No,Once a week,Unsatisfied,Reduced fares or free transfers,Yes,Increased programming and events,Sports facilities,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very dissatisfied,Rarely,Neutral,Language learning programs,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Improve customer service Neutral Fair Neutral No Unsatisfied,reduce fare free transfer electric vehicle charge station language learning program improve customer service neutral fair neutral unsatisfied
18-35 ,Male,Kanakapura,Good,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Neutral Good Somewhat safe Yes Satisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service neutral good somewhat safe yes satisfied
18-35 ,Male,Mysuru,Fair,Somewhat safe,Free Wi-Fi,No,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Monthly,Neutral,E book access,Invest in technology,Reduced fares or free transfers Sports equipment rentals E book access Invest in technology Neutral Fair Somewhat safe No Satisfied,reduce fare free transfer sport equipment rental e book access invest technology neutral fair somewhat safe satisfied
18-35 ,Male,Chennai,Good,Very safe,Comfortable seating areas,No,Once a week,Satisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Sports facilities,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Increase transparency,Reduced fares or free transfers Sports equipment rentals E book access Increase transparency Satisfied Good Very safe No Satisfied,reduce fare free transfer sport equipment rental e book access increase transparency satisfy good safe satisfied
36-50 ,Male,Kanakapura,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Very satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Sports equipment rentals,Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency,"Reduced fares or free transfers Sports equipment rentals DIY workshop(crafting,painting) Increase transparency Neutral Fair Very safe Yes Very satisfied",reduce fare free transfer sport equipment rental diy painting increase transparency neutral fair safe yes satisfied
18-35 ,Female,Mysuru,Poor,Somewhat safe,Baby-changing facilities,Yes,Never,Very satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Lack of amenities,No,Sports equipment rentals,Neutral,Weekly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Neutral Poor Somewhat safe Yes Very satisfied",clean comfortable vehicle sport equipment rental e book access improve customer service neutral poor somewhat safe yes satisfied
18-35 ,Male,Mysuru,Fair,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Neutral,E book access,Improve customer service,Reduced fares or free transfers Sports equipment rentals E book access Improve customer service Neutral Fair Somewhat safe Yes Neutral,reduce fare free transfer sport equipment rental e book access improve customer service neutral fair somewhat safe yes neutral
36-50 ,Male,Hyderabad,Fair,Somewhat unsafe,Free Wi-Fi,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Monthly,Satisfied,E book access,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Invest in technology Satisfied Fair Somewhat unsafe No Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access invest technology satisfied fair somewhat unsafe unsatisfied
18-35 ,Female,Kanakapura,Poor,Somewhat unsafe,Comfortable seating areas,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Public restrooms,Dissatisfied,Monthly,Neutral,E book access,Enhance community engagement,"Cleaner, more comfortable vehicles Public restrooms E book access Enhance community engagement Neutral Poor Somewhat unsafe No Unsatisfied",clean comfortable vehicle public restroom e book access enhance community engagement neutral poor somewhat unsafe unsatisfied
18-35 ,Male,Kanakapura,Good,Somewhat safe,Air conditioning or heating,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,More amenities,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service,More frequent buses/trains Electric vehicle charging stations Language learning programs Improve customer service Neutral Good Somewhat safe Yes Neutral,frequent bus train electric vehicle charge station language learning program improve customer service neutral good somewhat safe yes neutral
18-35 ,Male,Mysuru,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Very Satisfied,Quarterly,Satisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Satisfied Good Somewhat safe Yes Unsatisfied",clean comfortable vehicle sport equipment rental e book access improve customer service satisfied good somewhat safe yes unsatisfie
